approximately	about
accomplish	achieve
admit	confess
almost	nearly
annoy	irritate
answer	reply
appear	seem
arrive	reach
association	organization
assure	guarantee
attractive	appealing
away	absent
awful	terrible
backbone	spine
backside	behind
bad(not good)	poor
beat	defeat
begin	start
behave	act
believable	plausible
belly	stomach
bizarre	weird
blameless	innocent
bloodbath	massacre
bloodless	cold
branch	department
brave	courageous
brow	forehead
bum	backside
business	commerce
candy	sweet
categorize	classify
charter	constitution
cheesy	corny
chiefly	mainly
choosy	picky
chop	cut
chorus	refrain
citation	quotation
cite	quote
class	lesson
clerk	receptionist
clever	intelligent
close	shut
coiffure	hairstyle
collapse	break down
collect	gather
comfort	consolation
comic	comedian
commencement	graduation
complete	total
completely	totally
concord	harmony
condemn	sentence
confederate	accomplice
confine	restrict
conflict	clash
conform	comply
confuse	mix up
connect	associate
considerate	thoughtful
constancy	fidelity
constant	fixed
constitution	structure
consult	refer to
contemporary	modern
continuous	continual
contrary	opposite
convention	conference
convey	communicate
cope	manage
correct	right
couch	sofa
crook	criminal
crusade	campaign
cube	dice
curative	healing
curler	roller
cussed	stubborn
dash	sprint
daybreak	dawn
deceptive	misleading
decontrol	deregulate
dedicated	committed
deduce	infer
defective	faulty
deliberate	planned
deliberately	intentionally
delicate	fragile
demostrate	protest
denationalize	privatize
denims	jeans
denote	indicate
deprave	corrupt
depraved	wicked
desert	abandon
deserted	abandoned
destiny	fate
detached	indifferent
devil	satan
dicy	risky
differentiate	distinguish
diminish	decrease
disadvantaged	deprived
disagreeable	unpleasant
disappear	vanish
disaster	catastrophe
disclaim	deny
disclose	reveal
discount	reduction
disgrace	shame
domesticate	cultivate
dossier	file
dubious	doubtful
dull (person)	stupid
eager	keen
earth	soil
economic	profitable
egocentric	selfish
elevate	raise
encounter	come across
enormous	huge
enquire	investigate
equity	fairness
especially	particularly
essential	fundamental
establish	set up
evaluate	assess
everlasting	eternal
exactly	precisely
except	apart from
expire	run out
explode	blow up
extra	additional
fabricate	manufacture
famous	famed
fanatic	enthusiast
fantastic	great
float	drift
fool	idiot
foolish	silly
forehead	brow
foretell	predict
formerly	previously
fortunate	lucky
foxy	cunning
foyer	lobby
fragrance	perfume
French dressing	vinaigrette
function	operate
